481505.45070273	-1621170.78411925	163.458004735 -74.5260293574 26.238 58476.6609028
481505.44962769	-1621170.78485381	163.458004777 -74.5260293538 26.238 58476.6610764
481505.44811495	-1621170.78390735	163.458004817 -74.5260293659 26.237 58476.66125
481505.44952601	-1621170.78212709	163.458004754 -74.5260293777 26.235 58476.6614236
481505.45034479	-1621170.78540215	163.458004759 -74.5260293472 26.24 58476.6615972
481505.45033215	-1621170.78525595	163.458004758 -74.5260293485 26.233 58476.6617708
481505.44736052	-1621170.78437367	163.458004846 -74.5260293638 26.224 58476.6619444
481505.44833428	-1621170.78195043	163.458004791 -74.5260293823 26.222 58476.6621181
481505.45121139	-1621170.78230710	163.458004701 -74.5260293718 26.227 58476.6622917
481505.44758328	-1621170.78315398	163.458004827 -74.5260293738 26.241 58476.6624653
481505.44652963	-1621170.78230187	163.458004853 -74.5260293839 26.232 58476.6626389
481505.44703402	-1621170.78565877	163.458004869 -74.5260293535 26.231 58476.6628125
481505.44749945	-1621170.78587812	163.458004856 -74.5260293504 26.226 58476.6629861
481505.44857368	-1621170.78306746	163.458004794 -74.526029372 26.233 58476.6631597
481505.44783208	-1621170.78419900	163.458004829 -74.5260293641 26.226 58476.6633333
481505.44722166	-1621170.78307682	163.458004838 -74.5260293754 26.232 58476.6635069
481505.45053312	-1621170.78458489	163.458004745 -74.5260293538 26.235 58476.6636806
481505.44926825	-1621170.78229593	163.458004764 -74.5260293769 26.237 58476.6638542
481505.44805711	-1621170.78070621	163.458004788 -74.5260293938 26.226 58476.6640278
481505.44768350	-1621170.78214372	163.458004814 -74.5260293823 26.229 58476.6642014
481505.44860900	-1621170.78494874	163.458004811 -74.5260293556 26.227 58476.664375
481505.44936044	-1621170.78488705	163.458004786 -74.5260293542 26.22 58476.6645486
481505.45104566	-1621170.78465183	163.458004729 -74.5260293519 26.222 58476.6647222
481505.45081567	-1621170.78346280	163.458004725 -74.5260293628 26.228 58476.6648958
481505.45174322	-1621170.78347569	163.458004695 -74.5260293603 26.222 58476.6650694
481505.45184283	-1621170.78090835	163.458004667 -74.5260293823 26.219 58476.6652431
481505.44957328	-1621170.78238990	163.458004755 -74.5260293753 26.224 58476.6654167
481505.45024973	-1621170.78352707	163.458004744 -74.5260293637 26.225 58476.6655903
481505.44879366	-1621170.78277141	163.458004784 -74.526029374 26.216 58476.6657639
481505.44952969	-1621170.78348716	163.458004767 -74.5260293659 26.221 58476.6659375
481505.44937578	-1621170.78390200	163.458004776 -74.5260293627 26.216 58476.6661111
481505.44906264	-1621170.78720179	163.458004818 -74.5260293349 26.216 58476.6662847
481505.45044941	-1621170.78762045	163.458004777 -74.5260293277 26.218 58476.6664583
481505.45173567	-1621170.78832272	163.458004742 -74.5260293183 26.206 58476.6666319
481505.45031560	-1621170.78312685	163.458004738 -74.526029367 26.212 58476.6668056
481505.45055839	-1621170.78487730	163.458004747 -74.5260293512 26.212 58476.6669792
481505.45067488	-1621170.78526951	163.458004747 -74.5260293475 26.213 58476.6671528
481505.45104618	-1621170.78600130	163.458004742 -74.5260293402 26.217 58476.6673264
481505.45259573	-1621170.78458364	163.458004678 -74.5260293485 26.217 58476.6675
481505.45111157	-1621170.78435541	163.458004724 -74.5260293543 26.223 58476.6676736
481505.45225781	-1621170.78883669	163.45800473 -74.5260293125 26.21 58476.6678472
481505.45102321	-1621170.78353958	163.458004719 -74.5260293616 26.21 58476.6680208
481505.45174730	-1621170.78587380	163.458004718 -74.5260293395 26.209 58476.6681944
481505.45276680	-1621170.78785498	163.458004704 -74.5260293197 26.211 58476.6683681
481505.44928537	-1621170.78587830	163.458004798 -74.5260293458 26.203 58476.6685417
